"Zaman damgası","Yapay zeka kullanıyor musunuz?","Yapay zeka sizce yararlı mı?","Günde kaç kez kullanıyorsunuz?","Eğitimde yapay zekanın kullanımı sizce","Öğrencilerin yapay zeka kullanması sizce","Öğretmenlerin yapay zeka kullanması sizce","Eklemek istediğiniz ek bir şey var ise"
"2025/11/10 11:25:13 ÖS GMT+3","Evet","Evet","5+","Pozitif","Nötr","Negatif",""
"2025/11/10 11:25:29 ÖS GMT+3","Evet","Evet","5+","Pozitif","Pozitif","Pozitif",""
"2025/11/10 11:25:58 ÖS GMT+3","Evet","Evet","5+","Pozitif","Pozitif","Pozitif",""
"2025/11/10 11:26:03 ÖS GMT+3","Evet","Evet","1-3","Nötr","Pozitif","Negatif",""
"2025/11/10 11:26:36 ÖS GMT+3","Evet","Evet","1-3","Pozitif","Pozitif","Negatif",""
"2025/11/10 11:56:21 ÖS GMT+3","Evet","Evet","1-3","Pozitif","Negatif","Negatif",""
"2025/11/11 12:09:10 ÖÖ GMT+3","Evet","Evet","1-3","Pozitif","Pozitif","Nötr",""
"2025/11/11 2:21:33 ÖS GMT+3","Evet","Evet","1-3","Pozitif","Nötr","Pozitif",""
"2025/11/11 2:21:51 ÖS GMT+3","Hayır","Hayır","0","Nötr","Negatif","Pozitif",""
"2025/11/11 2:22:11 ÖS GMT+3","Evet","Evet","3-5","Negatif","Negatif","Negatif",""
"2025/11/15 4:32:50 ÖS GMT+3","Hayır","Evet","0","Pozitif","Negatif","Pozitif",""
"2025/11/15 4:33:02 ÖS GMT+3","Hayır","Hayır","0","Negatif","Negatif","Negatif",""
"2025/11/15 4:33:10 ÖS GMT+3","Evet","Evet","3-5","Nötr","Negatif","Nötr",""
"2025/11/15 4:33:20 ÖS GMT+3","Evet","Evet","1-3","Negatif","Negatif","Negatif",""
"2025/11/15 4:33:29 ÖS GMT+3","Evet","Evet","1-3","Negatif","Pozitif","Nötr",""
"2025/11/15 4:33:41 ÖS GMT+3","Evet","Evet","5+","Pozitif","Pozitif","Negatif",""